119,4,2019-09-21 07:03:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{12.917596 77.490467},{13.043767 77.616354},true,24944.100000m,cab 29
133,4,2019-09-21 07:15:00 +0000 UTC,2019-09-21 08:45:00 +0000 UTC,{13.024070 77.692833},{12.849120 77.658289},true,29434.300000m,cab 22
140,4,2019-09-21 07:00:00 +0000 UTC,2019-09-21 09:30:00 +0000 UTC,{12.917597 77.601826},{12.919648 77.668352},true,7861.200000m,cab 23
147,4,2019-09-21 07:05:00 +0000 UTC,2019-09-21 09:25:00 +0000 UTC,{13.056378 77.612013},{12.919648 77.668352},true,22640.800000m,cab 24
154,4,2019-09-21 07:10:00 +0000 UTC,2019-09-21 09:20:00 +0000 UTC,{12.865761 77.599805},{12.919648 77.668352},true,13877.900000m,cab 31
161,4,2019-09-21 07:00:00 +0000 UTC,2019-09-21 09:15:00 +0000 UTC,{13.077254 77.588950},{12.919648 77.668352},true,26348.700000m,cab 26
180,4,2019-09-21 07:10:00 +0000 UTC,2019-09-21 09:20:00 +0000 UTC,{13.052357 77.492256},{12.919648 77.668352},true,29445.500000m,cab 27
199,4,2019-09-21 07:00:00 +0000 UTC,2019-09-21 08:06:00 +0000 UTC,{13.046322 77.621619},{12.881146 77.556031},true,22944.300000m,cab 18
226,4,2019-09-21 07:10:00 +0000 UTC,2019-09-21 08:30:00 +0000 UTC,{12.957341 77.754198},{12.982539 77.591772},true,20466.100000m,cab 21
237,4,2019-09-21 07:25:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{13.079921 77.626730},{13.043767 77.616354},true,8093.300000m,cab 7
260,4,2019-09-21 07:19:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{13.014001 77.530404},{13.043767 77.616354},true,15914.700000m,cab 38
266,4,2019-09-21 07:25:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{13.074765 77.516683},{13.043767 77.616354},true,14911.200000m,cab 6
279,4,2019-09-21 07:20:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{13.096076 77.485183},{13.043767 77.616354},true,19572.100000m,cab 37
297,4,2019-09-21 07:00:00 +0000 UTC,2019-09-21 07:43:00 +0000 UTC,{13.046322 77.621619},{13.063420 77.717796},true,13444.100000m,cab 20
310,4,2019-09-21 07:00:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{12.917452 77.672813},{12.920615 77.684075},true,4259.100000m,cab 13
8,4,2019-09-21 19:36:00 +0000 UTC,2019-09-21 20:30:00 +0000 UTC,{13.085163 77.740889},{12.991898 77.703648},true,20241.100000m,cab 8
